ax:320	ay:3372	ax:15796	gx:54	gy:-191	gz:-112
12:04:01.467 -> a/g:	ax:-24	ay:3340	ax:15600	gx:10	gy:55	gz:-139
12:04:01.502 -> a/g:	ax:-40	ay:3176	ax:15360	gx:51	gy:74	gz:-177
12:04:01.502 -> a/g:	ax:0	ay:3108	ax:15440	gx:14	gy:171	gz:-167
12:04:01.534 -> a/g:	ax:4	ay:3332	ax:15392	gx:50	gy:15	gz:-130
12:04:01.534 -> a/g:	ax:-108	ay:3168	ax:15420	gx:9	gy:158	gz:-164
12:04:01.534 -> a/g:	ax:164	ay:3208	ax:15364	gx:-24	gy:35	gz:-186
12:04:01.569 -> a/g:	ax:-96	ay:3360	ax:15500	gx:26	gy:90	gz:-129
12:04:01.569 -> a/g:	ax:0	ay:3128	ax:15596	gx:63	gy:181	gz:-137
12:04:01.604 -> a/g:	ax:-88	ay:3284	ax:15336	gx:17	gy:46	gz:-150
12:04:01.604 -> a/g:	ax:-68	ay:3168	ax:15376	gx:33	gy:62	gz:-183
12:04:01.604 -> a/g:	ax:204	ay:3144	ax:15456	gx:-2	gy:130	gz:-195
12:04:01.637 -> a/g:	ax:0	ay:3204	ax:15396	gx:12	gy:5	gz:-143
12:04:01.637 -> a/g:	ax:-84	ay:3168	ax:15464	gx:48	gy:200	gz:-165
12:04:01.637 -> a/g:	ax:92	ay:3236	ax:15552	gx:-16	gy:112	gz:-144
12:04:01.670 -> a/g:	ax:-136	ay:3160	ax:15276	gx:66	gy:46	gz:-183
12:04:01.670 -> a/g:	ax:104	ay:3256	ax:15364	gx:28	gy:130	gz:-152
12:04:01.670 -> a/g:	ax:64	ay:3364	ax:15532	gx:-22	gy:105	gz:-108
12:04:01.704 -> a/g:	ax:-80	ay:3288	ax:15508	gx:18	gy:41	gz:-143
12:04:01.704 -> a/g:	ax:-132	ay:3292	ax:15540	gx:15	gy:147	gz:-170
12:04:01.737 -> a/g:	ax:0	ay:3316	ax:15500	gx:37	gy:62	gz:-162
12:04:01.737 -> a/g:	ax:64	ay:3260	ax:15532	gx:23	gy:79	gz:-137
12:04:01.737 -> a/g:	ax:92	ay:3288	ax:15532	gx:-15	gy:104	gz:-194
12:04:01.770 -> a/g:	ax:-116	ay:3412	ax:15456	gx:37	gy:57	gz:-182
12:04:01.770 -> a/g:	ax:76	ay:3208	ax:15488	gx:46	gy:124	gz:-166
12:04:01.803 -> a/g:	ax:-64	ay:3200	ax:15356	gx:4	gy:35	gz:-161
12:04:01.803 -> a/g:	ax:-16	ay:3220	ax:15444	gx:38	gy:82	gz:-209
12:04:01.803 -> a/g:	ax:116	ay:3204	ax:15600	gx:9	gy:129	gz:-193
12:04:01.837 -> a/g:	ax:-52	ay:3140	ax:15484	gx:24	gy:108	gz:-141
12:04:01.837 -> a/g:	ax:84	ay:3240	ax:15352	gx:55	gy:27	gz:-181
12:04:01.873 -> a/g:	ax:40	ay:3244	ax:15364	gx:-1	gy:175	gz:-167
12:04:01.873 -> a/g:	ax:-72	ay:3156	ax:15412	gx:49	gy:-26	gz:-206
12:04:01.873 -> a/g:	ax:192	ay:3184	ax:15632	gx:7	gy:182	gz:-193
12:04:01.909 -> a/g:	ax:180	ay:3332	ax:15652	gx:-20	gy:94	gz:-146
12:04:01.909 -> a/g:	ax:-36	ay:3224	ax:15336	gx:51	gy:44	gz:-185
12:04:01.909 -> a/g:	ax:64	ay:3240	ax:15264	gx:14	gy:227	gz:-164
12:04:01.943 -> a/g:	ax:116	ay:3436	ax:15608	gx:-10	gy:110	gz:-161
12:04:01.943 -> a/g:	ax:0	ay:3292	ax:15580	gx:-7	gy:23	gz:-200
12:04:01.977 -> a/g:	ax:-20	ay:3356	ax:15596	gx:-33	gy:110	gz:-228
12:04:01.977 -> a/g:	ax:-8	ay:3296	ax:15528	gx:7	gy:183	gz:-117
12:04:01.977 -> a/g:	ax:28	ay:3144	ax:15496	gx:-6	gy:188	gz:-169
12:04:02.012 -> a/g:	ax:-164	ay:3348	ax:15328	gx:-38	gy:86	gz:-215
12:04:02.012 -> a/g:	ax:72	ay:3328	ax:15592	gx:19	gy:106	gz:-215
12:04:02.012 -> a/g:	ax:108	ay:3200	ax:15528	gx:-8	gy:96	gz:-114
12:04:02.046 -> a/g:	ax:-24	ay:3140	ax:15464	gx:-39	gy:112	gz:-141
12:04:02.046 -> a/g:	ax:-52	ay:3256	ax:15356	gx:30	gy:60	gz:-206
12:04:02.078 -> a/g:	ax:140	ay:3072	ax:15512	gx:-6	gy:232	gz:-218
12:04:02.078 -> a/g:	ax:72	ay:3116	ax:15304	gx:-1	gy:36	gz:-178
12:04:02.078 -> a/g:	ax:-96	ay:3324	ax:15304	gx:35	gy:113	gz:-222
12:04:02.111 -> a/g:	ax:52	ay:3204	ax:15620	gx:1	gy:208	gz:-164
12:04:02.111 -> a/g:	ax:-140	ay:3072	ax:15496	gx:47	gy:-22	gz:-166
12:04:02.149 -> a/g:	ax:-48	ay:3164	ax:15456	gx:18	gy:169	gz:-195
12:04:02.149 -> a/g:	ax:120	ay:3264	ax:15752	gx:-29	gy:117	gz:-145
12:04:02.149 -> a/g:	ax:-52	ay:3352	ax:15028	gx:109	gy:-13	gz:-158
12:04:02.185 -> a/g:	ax:200	ay:3000	ax:15720	gx:98	gy:455	gz:-170
12:04:02.185 -> a/g:	ax:28	ay:3324	ax:15316	gx:-44	gy:21	gz:-149
12:04:02.185 -> a/g:	ax:-428	ay:3060	ax:15764	gx:-60	gy:101	gz:-213
12:04:02.218 -> a/g:	ax:148	ay:3136	ax:15424	gx:0	gy:17	gz:-164
12:04:02.218 -> a/g:	ax:-256	ay:3332	ax:15732	gx:62	gy:303	gz:-201
12:04:02.252 -> a/g:	ax:328	ay:3272	ax:15492	gx:64	gy:128	gz:-162
12:04:02.252 -> a/g:	ax:-460	ay:3320	ax:15352	gx:-23	gy:22	gz:-189
12:04:02.252 -> a/g:	ax:-64	ay:3420	ax:15644	gx:3	gy:94	gz:-162
12:04:02.290 -> a/g:	ax:-124	ay:3168	ax:15488	gx:33	gy:1	gz:-149
12:04:02.290 -> a/g:	ax:-68	ay:3244	ax:15360	gx:1	gy:137	gz:-144
12:04:02.290 -> a/g:	ax:72	ay:3252	ax:15360	gx:-4	gy:44	gz:-134
12:04:02.324 -> a/g:	ax:-84	ay:3088	ax:15608	gx:-23	gy:147	gz:-198
12:04:02.324 -> a/g:	ax:116	ay:3048	ax:15344	gx:-23	gy:-42	gz:-190
12:04:02.361 -> a/g:	ax:-236	ay:3196	ax:15112	gx:69	gy:-51	gz:-176
12:04:02.361 -> a/g:	ax:380	ay:3076	ax:15540	gx:6	gy:263	gz:-148
12:04:02.361 -> a/g:	ax:120	ay:3100	ax:15276	gx:-12	gy:-98	gz:-128
12:04:02.395 -> a/g:	ax:-16	ay:3136	ax:15248	gx:50	gy:141	gz:-188
12:04:02.395 -> a/g:	ax:368	ay:3160	ax:15544	gx:-27	gy:207	gz:-182
12:04:02.395 -> a/g:	ax:-72	ay:3208	ax:15056	gx:98	gy:-116	gz:-176
12:04:02.429 -> a/g:	ax:312	ay:3280	ax:15524	gx:16	gy:340	gz:-156
12:04:02.429 -> a/g:	ax:272	ay:3312	ax:15736	gx:-19	gy:38	gz:-149
12:04:02.467 -> a/g:	ax:68	ay:3344	ax:15252	gx:34	gy:133	gz:-166
12:04:02.467 -> a/g:	ax:180	ay:3420	ax:15740	gx:-6	gy:272	gz:-196
12:04:02.467 -> a/g:	ax:240	ay:3432	ax:15544	gx:-11	gy:75	gz:-143
12:04:02.500 -> a/g:	ax:-80	ay:3384	ax:15476	gx:41	gy:211	gz:-177
12:04:02.500 -> a/g:	ax:108	ay:3384	ax:15492	gx:-10	gy:334	gz:-189
12:04:02.534 -> a/g:	ax:-20	ay:3464	ax:15640	gx:-72	gy:182	gz:-156
12:04:02.534 -> a/g:	ax:-356	ay:3132	ax:15512	gx:25	gy:117	gz:-201
12:04:02.534 -> a/g:	ax:-100	ay:3164	ax:15592	gx:-4	gy:251	gz:-198
12:04:02.572 -> a/g:	ax:-212	ay:3156	ax:15884	gx:-58	gy:187	gz:-175
12:04:02.572 -> a/g:	ax:-396	ay:3100	ax:15484	gx:62	gy:47	gz:-178
12:04:02.572 -> a/g:	ax:-188	ay:3008	ax:15480	gx:-54	gy:315	gz:-184
12:04:02.606 -> a/g:	ax:-464	ay:3020	ax:15464	gx:46	gy:-174	gz:-149
12:04:02.606 -> a/g:	ax:-100	ay:2788	ax:15360	gx:-8	gy:200	gz:-132
12:04:02.644 -> a/g:	ax:-192	ay:2892	ax:15292	gx:-6	gy:-92	gz:-160
12:04:02.644 -> a/g:	ax:-204	ay:3048	ax:15348	gx:25	gy:48	gz:-139
12:04:02.644 -> a/g:	ax:16	ay:2936	ax:15340	gx:46	gy:117	gz:-140
